
"HDI Rank","Country","1990","","1995","","2000","","2005","","2010","","2015","","2020",""
"114"," South Africa","19.8","","21.3","","22.6","","23.8","","25.0","","26.4","","27.6",""
"185"," South Sudan","17.8","","17.7","","17.6","","17.7","","18.0","","18.4","","19.0",""
"25"," Spain","33.4","l","35.5","l","37.6","l","39.1","l","40.0","l","42.5","l","44.9","l"
"72"," Sri Lanka","24.2","","25.8","","27.6","","29.0","","30.4","","32.3","","34.0",""
"170"," Sudan","17.0","","17.7","","17.9","","18.1","","18.3","","18.9","","19.7",""
"97"," Suriname","22.6","","23.6","","24.8","","25.5","","26.7","","27.9","","29.0",""
"7"," Sweden","38.4","","38.5","","39.4","","40.3","","40.7","","40.9","","41.1",""
"2"," Switzerland","36.9","","37.2","","38.6","","40.0","","41.5","","42.2","","43.1",""
"151"," Syrian Arab Republic","16.3","","17.5","","18.7","","19.6","","21.1","","23.6","","25.6",""
"125"," Tajikistan","18.1","","17.8","","18.3","","19.8","","21.3","","22.0","","22.4",""
"163"," Tanzania (United Republic of)","17.0","m","17.2","m","17.4","m","17.4","m","17.4","m","17.6","m","18.0","m"
"79"," Thailand","24.3","","26.6","","30.2","","32.8","","35.5","","37.9","","40.1",""
"141"," Timor-Leste","20.6","","20.4","","17.6","","17.6","","18.2","","19.6","","20.8",""
"167"," Togo","16.8","","17.1","","18.0","","18.3","","18.5","","18.8","","19.4",""
"104"," Tonga","19.7","","19.8","","19.9","","21.0","","21.2","","21.9","","22.4",""
"67"," Trinidad and Tobago","24.1","","25.7","","27.7","","29.8","","31.9","","33.8","","36.2",""
"95"," Tunisia","21.3","","23.1","","25.1","","27.2","","29.3","","31.3","","32.8",""
"54"," Turkey","22.1","","23.5","","24.9","","26.6","","28.3","","29.9","","31.5",""
"111"," Turkmenistan","19.6","","20.1","","21.7","","23.0","","24.4","","25.6","","26.9",""
"159"," Uganda","15.9","","15.5","","15.2","","15.2","","15.4","","15.9","","16.7",""
"74"," Ukraine","35.3","n","36.4","n","37.8","n","39.1","n","39.5","n","40.0","n","41.2","n"
"31"," United Arab Emirates","26.6","","27.7","","28.0","","29.7","","31.8","","32.6","","32.6",""
"13"," United Kingdom","35.8","","36.5","","37.6","","38.7","","39.5","","40.0","","40.5",""
"17"," United States","32.8","","34.0","","35.2","","36.1","","36.9","","37.6","","38.3",""
"55"," Uruguay","30.7","","31.1","","31.6","","32.7","","33.9","","35.0","","35.8",""
"106"," Uzbekistan","19.6","","19.8","","21.0","","22.8","","24.4","","26.2","","27.8",""
"140"," Vanuatu","18.1","","18.5","","18.8","","19.8","","21.2","","20.8","","21.1",""
"113"," Venezuela (Bolivarian Republic of)","20.9","","22.0","","23.2","","24.5","","25.8","","27.3","","29.6",""
"117"," Viet Nam","21.1","","22.3","","24.2","","26.4","","28.5","","30.5","","32.5",""
"179"," Yemen","14.4","","14.9","","15.5","","16.6","","17.9","","19.1","","20.2",""
"146"," Zambia","16.2","","16.4","","16.6","","16.3","","16.2","","16.7","","17.6",""
"150"," Zimbabwe","16.9","","17.6","","18.2","","18.3","","18.6","","18.4","","18.7",""
"36"," Andorra","..","","..","","..","","..","","..","","..","","..",""
"94"," Dominica","..","","..","","..","","..","","..","","..","","..",""
"74"," Saint Kitts and Nevis","..","","..","","..","","..","","..","","..","","..",""
"19"," Liechtenstein","..","","..","","..","","..","","..","","..","","..",""
"117"," Marshall Islands","..","","..","","..","","..","","..","","..","","..",""
"50"," Palau","..","","..","","..","","..","","..","","..","","..",""
"","Human Development","","","..","","..","","..","","..","","..","","..",""
" ","Very high human development","32.9","","34.2","","35.5","","36.8","","38.0","","39.1","","40.2",""
" ","High human development","23.5","","25.4","","27.5","","29.5","","31.5","","33.0","","34.4",""
" ","Medium human development","20.2","","20.8","","21.7","","22.8","","24.0","","25.5","","26.7",""
" ","Low human development","16.9","","17.1","","17.2","","17.3","","17.5","","17.9","","18.3",""
" ","Developing Countries","21.8","","23.0","","24.3","","25.6","","26.9","","28.1","","29.3",""
"","Regions","","","..","","..","","..","","..","","..","","..",""
" ","Arab States","18.6","","19.3","","20.4","","21.7","","23.1","","24.4","","25.4",""
" ","East Asia and the Pacific","23.9","","26.0","","28.3","","30.5","","32.7","","34.2","","35.8",""
" ","Europe and Central Asia","27.2","","28.0","","29.0","","30.2","","31.2","","32.1","","33.3",""
" ","Latin America and the Caribbean","21.9","","23.0","","24.3","","25.8","","27.5","","29.2","","31.0",""
" ","South Asia","20.4","","21.1","","22.0","","23.1","","24.5","","26.1","","27.7",""
" ","Sub-Saharan Africa","17.1","","17.4","","17.6","","17.8","","18.0","","18.3","","18.8",""
" ","Least Developed Countries","17.6","","17.9","","18.2","","18.7","","19.2","","19.8","","20.6",""
" ","Small Island Developing States","22.5","","23.7","","25.0","","26.3","","27.7","","29.0","","30.2",""
" ","Organization for Economic Co-operation and Development","32.5","","33.8","","35.2","","36.6","","37.8","","39.0","","39.8",""
" ","World","24.4","","25.5","","26.7","","27.9","","29.2","","30.3","","31.4",""
"a: Includes Christmas Island, Cocos (Keeling) Islands and Norfolk Island."
"b: Includes Nagorno-Karabakh."
"c: Includes Northern Cyprus."
"d: Includes Åland Islands."
"e: Includes Abkhazia and South Ossetia."
"f: Includes Sabah and Sarawak."
"g: Includes Agalega, Rodrigues and Saint Brandon."
"h: Includes Transnistria."
"i: Includes Svalbard and Jan Mayen Islands."
"j: Includes East Jerusalem."
"k: Includes Kosovo."
"l: Includes Canary Islands, Ceuta and Melilla."
"m: Includes Zanzibar."
"n: Includes Crimea."
""
